target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	5.19239	0	0
ENSDART00000189431.1	11	5.54177	0	0
ENSDART00000160762.2	345	69.1416	0	0
ENSDART00000170804.2	366	81.9528	0	0
ENSDART00000165410.2	350	71.9959	0	0
ENSDART00000163675.2	339	65.8754	0	0
ENSDART00000171132.2	338	65.3477	0	0
ENSDART00000172037.2	344	68.5853	0	0
ENSDART00000161368.2	354	74.3671	0	0
ENSDART00000172374.2	355	74.9722	0	0
ENSDART00000167067.2	378	90.2432	0	0
ENSDART00000161271.2	334	63.2835	1	0.944802
ENSDART00000163938.2	366	81.9528	0	0
ENSDART00000161622.2	445	147.275	0	0
ENSDART00000162257.2	426	129.639	0	0
ENSDART00000158119.2	318	55.7509	0	0
ENSDART00000169491.2	387	96.9097	2	1.23394
ENSDART00000172528.2	396	103.941	0	0
ENSDART00000166253.2	411	116.396	0	0
ENSDART00000160948.2	323	57.9839	0	0
ENSDART00000161537.2	377	89.5258	0	0
ENSDART00000159235.2	348	70.8396	0	0
ENSDART00000171772.2	483	184.223	0	0
ENSDART00000167404.2	357	76.197	0	0
ENSDART00000171344.2	462	163.613	0	0
ENSDART00000168039.2	470	171.423	0	0
ENSDART00000157830.2	431	134.199	0	0
ENSDART00000166182.2	372	86.0109	0	0
ENSDART00000167805.2	378	90.2432	0	0
ENSDART00000159795.2	419	123.372	0	0
ENSDART00000160202.2	378	90.2432	0	0
ENSDART00000163851.2	330	61.2933	0	0
ENSDART00000161463.2	417	121.608	0	0
ENSDART00000164491.2	366	81.9528	0	0
ENSDART00000158772.2	348	70.8396	0	0
ENSDART00000167409.2	420	124.258	0	0
ENSDART00000160204.2	348	70.8396	0	0
ENSDART00000166882.2	420	124.258	0	0
ENSDART00000171020.2	383	93.9005	0	0
ENSDART00000162456.2	366	81.9528	0	0
ENSDART00000164309.2	390	99.214	0	0
ENSDART00000160996.2	369	83.9599	0	0
ENSDART00000166892.2	332	62.2793	0.5	0.480019
ENSDART00000171613.2	393	101.558	0	0
ENSDART00000164961.2	357	76.197	0	0
ENSDART00000164492.2	396	103.941	0	0
ENSDART00000158814.2	396	103.941	0	0
ENSDART00000171201.2	397	104.743	0	0
ENSDART00000164110.2	399	106.361	0	0
ENSDART00000166029.2	381	92.4235	0	0
ENSDART00000165676.2	371	85.3223	0	0
ENSDART00000163282.2	342	67.487	0	0
ENSDART00000167496.2	346	69.7028	0	0
ENSDART00000164659.2	404	110.476	0	0
ENSDART00000164489.2	350	71.9959	0	0
ENSDART00000160625.2	413	118.12	0	0
ENSDART00000169436.2	387	96.9097	0	0
ENSDART00000170399.2	380	91.692	0	0
ENSDART00000162378.2	358	76.8169	0	0
ENSDART00000169864.2	389	98.4414	0	0
ENSDART00000164059.2	336	64.3063	0	0
ENSDART00000168607.2	375	88.1054	0	0
ENSDART00000161399.2	381	92.4235	0	0
