Gene stable ID,Gene name,NCBI gene ID,Gene stable ID,Gene name
ENSG00000078061,ARAF,369,ENSDARG00000054533,araf
ENSG00000185070,FLRT2,23768,ENSDARG00000079355,flrt2
ENSG00000144120,TMEM177,80775,ENSDARG00000069301,tmem177
ENSG00000112972,HMGCS1,3157,ENSDARG00000103025,hmgcs1
ENSG00000167987,VPS37C,55048,ENSDARG00000031836,vps37c
ENSG00000250741,NT5C1B-RDH14,100526794,ENSDARG00000018153,nt5c1ba
ENSG00000262304,AC027796.3,,ENSDARG00000002355,shpk
ENSG00000173610,UGT2A1,10941,ENSDARG00000061439,ugt5c3
ENSG00000159110,IFNAR2,3455,ENSDARG00000075181,crfb16
ENSG00000162236,STX5,6811,ENSDARG00000003175,stx5al
ENSG00000125675,GRIA3,2892,ENSDARG00000032737,gria3a
ENSG00000119777,TMEM214,54867,ENSDARG00000016968,tmem214
ENSG00000138670,RASGEF1B,153020,ENSDARG00000044251,rasgef1bb
ENSG00000205090,TMEM240,339453,ENSDARG00000087916,tmem240a
ENSG00000241119,UGT1A9,54600,ENSDARG00000061439,ugt5c3
ENSG00000204060,FOXO6,100132074,ENSDARG00000023058,foxo3a
ENSG00000179913,B3GNT3,10331,ENSDARG00000093521,b3gnt3.3
ENSG00000243646,IL10RB,3588,ENSDARG00000068711,crfb4
ENSG00000177468,OLIG3,167826,ENSDARG00000074253,olig3
ENSG00000244122,UGT1A7,54577,ENSDARG00000061439,ugt5c3
ENSG00000137265,IRF4,3662,ENSDARG00000006560,irf4a
ENSG00000156313,RPGR,6103,ENSDARG00000057074,rpgrb
ENSG00000176894,PXMP2,5827,ENSDARG00000003144,pxmp2
ENSG00000244474,UGT1A4,54657,ENSDARG00000061439,ugt5c3
ENSG00000142544,CTU1,90353,ENSDARG00000020986,ctu1
ENSG00000171234,UGT2B7,7364,ENSDARG00000061439,ugt5c3
ENSG00000138964,PARVG,64098,ENSDARG00000067711,parvg
ENSG00000053501,USE1,55850,ENSDARG00000007250,use1
ENSG00000142677,IL22RA1,58985,ENSDARG00000075181,crfb16
ENSG00000180113,TDRD6,221400,ENSDARG00000089954,si:ch211-189e2.3
ENSG00000240224,UGT1A5,54579,ENSDARG00000061439,ugt5c3
ENSG00000135047,CTSL,1514,ENSDARG00000099200,zgc:123103
ENSG00000157613,CREB3L1,90993,ENSDARG00000015793,creb3l1
ENSG00000027697,IFNGR1,3459,ENSDARG00000075181,crfb16
ENSG00000239382,ALKBH6,84964,ENSDARG00000077253,alkbh6
ENSG00000145526,CDH18,1016,ENSDARG00000061371,cdh18a
ENSG00000175262,C1orf127,148345,ENSDARG00000098029,si:ch211-129o18.4
ENSG00000140455,USP3,9960,ENSDARG00000045641,usp3
ENSG00000156096,UGT2B4,7363,ENSDARG00000061439,ugt5c3
ENSG00000020577,SAMD4A,23034,ENSDARG00000075759,samd4a
ENSG00000197417,SHPK,23729,ENSDARG00000002355,shpk
ENSG00000103599,IQCH,64799,ENSDARG00000015476,iqch
ENSG00000135226,UGT2B28,54490,ENSDARG00000061439,ugt5c3
ENSG00000103089,FA2H,79152,ENSDARG00000090063,fa2h
ENSG00000136943,CTSV,1515,ENSDARG00000099200,zgc:123103
ENSG00000254470,AP5B1,91056,ENSDARG00000078805,ap5b1
ENSG00000166225,FRS2,10818,ENSDARG00000045873,frs2a
ENSG00000165521,EML5,161436,ENSDARG00000053517,EML5
ENSG00000121900,TMEM54,113452,ENSDARG00000035875,tmem54b
ENSG00000111639,MRPL51,51258,ENSDARG00000041340,mrpl51
ENSG00000183807,FAM162B,221303,ENSDARG00000063344,fam162a
ENSG00000180644,PRF1,5551,ENSDARG00000021444,prf1.2
ENSG00000145626,UGT3A1,133688,ENSDARG00000061439,ugt5c3
ENSG00000173171,MTX1,4580,ENSDARG00000036109,mtx1b
ENSG00000115641,FHL2,2274,ENSDARG00000042018,fhl2a
ENSG00000152952,PLOD2,5352,ENSDARG00000011821,plod2
ENSG00000198856,OSTC,58505,ENSDARG00000104901,ostc
ENSG00000144891,AGTR1,185,ENSDARG00000045443,agtr1b
ENSG00000136827,TOR1A,1861,ENSDARG00000077950,tor1
ENSG00000146576,C7orf26,79034,ENSDARG00000037652,C1H7orf26
ENSG00000132623,ANKEF1,63926,ENSDARG00000019135,ankef1a
ENSG00000154914,USP43,124739,ENSDARG00000088072,usp43b
ENSG00000172824,CES4A,283848,ENSDARG00000062376,nlgn3b
